Date,Weekday,Distance (mi),Flights Climbed (count),Steps (count)
10/11/2020,Sunday,2.465658254,7,5963
10/12/2020,Monday,2.283321652,3,5848
10/13/2020,Tuesday,3.465626879,16,7988
10/14/2020,Wednesday,3.708611124,7,8284
10/15/2020,Thursday,1.464130727,6,3499
10/16/2020,Friday,2.936994247,9,6889
10/17/2020,Saturday,1.32294693,5,3165
10/18/2020,Sunday,2.886327335,8,7016
10/19/2020,Monday,1.811677207,5,4269
10/20/2020,Tuesday,4.059221187,9,8963
10/21/2020,Wednesday,1.71010838,3,3657
10/22/2020,Thursday,2.09268497,7,4687
10/23/2020,Friday,1.063759255,1,2617
10/24/2020,Saturday,2.599137929,7,5975
10/25/2020,Sunday,2.513718065,7,5714
10/26/2020,Monday,1.278067337,8,2933
10/27/2020,Tuesday,1.894772772,4,4360
10/28/2020,Wednesday,3.620832321,7,7842
10/29/2020,Thursday,2.629823587,8,5730
10/30/2020,Friday,3.362775713,8,8053
10/31/2020,Saturday,2.530227288,4,6100
11/1/2020,Sunday,2.175319857,6,5221
11/2/2020,Monday,2.093533255,5,5235
11/3/2020,Tuesday,3.510703722,11,8401
11/4/2020,Wednesday,3.459848314,7,8184
11/5/2020,Thursday,2.425733715,7,5934
11/6/2020,Friday,3.269761541,8,7164
11/7/2020,Saturday,2.41019835,2,5278
11/8/2020,Sunday,1.545238308,6,3552
11/9/2020,Monday,2.40201339,7,5470
11/10/2020,Tuesday,3.05929621,11,6894
11/11/2020,Wednesday,0.821443598,2,1795
11/12/2020,Thursday,1.283131512,4,2823
11/13/2020,Friday,2.064382033,8,4798
11/14/2020,Saturday,4.114276397,15,9600
11/15/2020,Sunday,3.339679075,7,7724
11/16/2020,Monday,1.900120616,5,3951
11/17/2020,Tuesday,1.92013019,6,4592
11/18/2020,Wednesday,2.731120035,7,6022
11/19/2020,Thursday,2.572013573,10,5818
11/20/2020,Friday,3.177525937,14,7060
11/21/2020,Saturday,1.336371758,3,3127
11/22/2020,Sunday,0.770003181,0,1830
11/23/2020,Monday,0.172703909,0,409
11/24/2020,Tuesday,0.10552747,0,252
11/25/2020,Wednesday,0.578850762,0,1307
11/26/2020,Thursday,0.275988229,0,710
11/27/2020,Friday,0.242639237,0,552
11/28/2020,Saturday,1.81366445,0,4172
11/29/2020,Sunday,0.643417442,0,1627
11/30/2020,Monday,0.139963861,0,339
12/1/2020,Tuesday,0.455347023,0,1164
12/2/2020,Wednesday,0.222214766,0,512
12/3/2020,Thursday,0.209805983,0,474
12/4/2020,Friday,0.247299521,0,619
12/5/2020,Saturday,3.09382039,0,6752
12/6/2020,Sunday,0.253954406,0,609
12/7/2020,Monday,0.097064394,0,218
12/8/2020,Tuesday,0.159505985,0,403
12/9/2020,Wednesday,0.08463697,0,199
12/10/2020,Thursday,0.267139903,0,666
12/11/2020,Friday,0.383038058,0,862
12/12/2020,Saturday,0.616667412,0,1432
12/13/2020,Sunday,0.183702179,0,424
12/14/2020,Monday,0.377172314,0,911
12/15/2020,Tuesday,0.600517975,0,1376
,,,,
