,Date,Weekday,Distance (mi),Flights Climbed (count),Steps (count),Schedule Type
0,10/11/2020,Sunday,2.465658254,7.0,5963.0,SS
1,10/12/2020,Monday,2.2833216519999997,3.0,5848.0,MWF
2,10/13/2020,Tuesday,3.4656268789999998,16.0,7988.0,TR
3,10/14/2020,Wednesday,3.708611124,7.0,8284.0,MWF
4,10/15/2020,Thursday,1.464130727,6.0,3499.0,TR
5,10/16/2020,Friday,2.936994247,9.0,6889.0,MWF
6,10/17/2020,Saturday,1.32294693,5.0,3165.0,SS
7,10/18/2020,Sunday,2.886327335,8.0,7016.0,SS
8,10/19/2020,Monday,1.8116772069999998,5.0,4269.0,MWF
9,10/20/2020,Tuesday,4.0592211869999995,9.0,8963.0,TR
10,10/21/2020,Wednesday,1.71010838,3.0,3657.0,MWF
11,10/22/2020,Thursday,2.09268497,7.0,4687.0,TR
12,10/23/2020,Friday,1.063759255,1.0,2617.0,MWF
13,10/24/2020,Saturday,2.599137929,7.0,5975.0,SS
14,10/25/2020,Sunday,2.513718065,7.0,5714.0,SS
15,10/26/2020,Monday,1.278067337,8.0,2933.0,MWF
16,10/27/2020,Tuesday,1.8947727719999998,4.0,4360.0,TR
17,10/28/2020,Wednesday,3.6208323210000004,7.0,7842.0,MWF
18,10/29/2020,Thursday,2.6298235869999997,8.0,5730.0,TR
19,10/30/2020,Friday,3.362775713,8.0,8053.0,MWF
20,10/31/2020,Saturday,2.5302272880000003,4.0,6100.0,SS
21,11/1/2020,Sunday,2.175319857,6.0,5221.0,SS
22,11/2/2020,Monday,2.093533255,5.0,5235.0,MWF
23,11/3/2020,Tuesday,3.5107037219999997,11.0,8401.0,TR
24,11/4/2020,Wednesday,3.459848314,7.0,8184.0,MWF
25,11/5/2020,Thursday,2.425733715,7.0,5934.0,TR
26,11/6/2020,Friday,3.2697615410000003,8.0,7164.0,MWF
27,11/7/2020,Saturday,2.41019835,2.0,5278.0,SS
28,11/8/2020,Sunday,1.545238308,6.0,3552.0,SS
29,11/9/2020,Monday,2.40201339,7.0,5470.0,MWF
30,11/10/2020,Tuesday,3.05929621,11.0,6894.0,TR
31,11/11/2020,Wednesday,0.821443598,2.0,1795.0,MWF
32,11/12/2020,Thursday,1.283131512,4.0,2823.0,TR
33,11/13/2020,Friday,2.0643820330000002,8.0,4798.0,MWF
34,11/14/2020,Saturday,4.114276397,15.0,9600.0,SS
35,11/15/2020,Sunday,3.339679075,7.0,7724.0,SS
36,11/16/2020,Monday,1.900120616,5.0,3951.0,MWF
37,11/17/2020,Tuesday,1.92013019,6.0,4592.0,TR
38,11/18/2020,Wednesday,2.731120035,7.0,6022.0,MWF
39,11/19/2020,Thursday,2.572013573,10.0,5818.0,TR
40,11/20/2020,Friday,3.177525937,14.0,7060.0,MWF
41,11/21/2020,Saturday,1.336371758,3.0,3127.0,SS
42,11/22/2020,Sunday,0.770003181,0.0,1830.0,SS
43,11/23/2020,Monday,0.172703909,0.0,409.0,MWF
44,11/24/2020,Tuesday,0.10552747,0.0,252.0,TR
45,11/25/2020,Wednesday,0.5788507620000001,0.0,1307.0,MWF
46,11/26/2020,Thursday,0.275988229,0.0,710.0,TR
47,11/27/2020,Friday,0.24263923699999998,0.0,552.0,MWF
48,11/28/2020,Saturday,1.81366445,0.0,4172.0,SS
49,11/29/2020,Sunday,0.6434174420000001,0.0,1627.0,SS
50,11/30/2020,Monday,0.139963861,0.0,339.0,MWF
51,12/1/2020,Tuesday,0.45534702299999996,0.0,1164.0,TR
52,12/2/2020,Wednesday,0.222214766,0.0,512.0,MWF
53,12/3/2020,Thursday,0.209805983,0.0,474.0,TR
54,12/4/2020,Friday,0.24729952100000002,0.0,619.0,MWF
55,12/5/2020,Saturday,3.09382039,0.0,6752.0,SS
56,12/6/2020,Sunday,0.253954406,0.0,609.0,SS
57,12/7/2020,Monday,0.097064394,0.0,218.0,MWF
58,12/8/2020,Tuesday,0.159505985,0.0,403.0,TR
59,12/9/2020,Wednesday,0.08463697,0.0,199.0,MWF
60,12/10/2020,Thursday,0.267139903,0.0,666.0,TR
61,12/11/2020,Friday,0.38303805799999996,0.0,862.0,MWF
62,12/12/2020,Saturday,0.6166674120000001,0.0,1432.0,SS
63,12/13/2020,Sunday,0.183702179,0.0,424.0,SS
64,12/14/2020,Monday,0.377172314,0.0,911.0,MWF
65,12/15/2020,Tuesday,0.600517975,0.0,1376.0,TR
