Date,Weekday,Total Time (Minutes),Highest,Games,Social,Entertainment,Utilities,Productivity & Finance,Creativity,Information & Reading,Education,Shopping & Food,Other,Unclassified
10/11/2020,Sunday,512,Social,88,226,0,0,16,1,47,0,0,0,134
10/12/2020,Monday,582,Social,38,261,108,41,25,8,3,0,0,3,95
10/13/2020,Tuesday,346,Social,35,163,8,0,17,13,6,3,10,22,69
10/14/2020,Wednesday,444,Social,30,139,123,24,21,16,0,0,0,0,91
10/15/2020,Thursday,411,Social,19,177,48,0,5,0,1,0,0,0,161
10/16/2020,Friday,477,Social,25,125,14,0,70,5,0,0,0,0,238
10/17/2020,Saturday,550,Games,169,138,74,0,6,1,8,0,1,6,147
10/18/2020,Sunday,393,Social,8,143,22,74,29,0,1,0,0,7,109
10/19/2020,Monday,408,Social,17,191,31,43,24,0,0,0,0,0,102
10/20/2020,Tuesday,316,Games,66,64,21,46,13,9,5,0,0,2,90
10/21/2020,Wednesday,474,Entertainment,48,107,163,1,20,3,3,0,0,0,129
10/22/2020,Thursday,296,Entertainment,8,67,68,23,12,38,0,0,0,3,77
10/23/2020,Friday,454,Social,42,192,15,36,10,20,3,1,19,0,116
10/24/2020,Saturday,509,Social,96,153,3,13,7,8,0,0,0,0,229
10/25/2020,Sunday,502,Social,75,141,88,3,11,21,2,0,0,0,161
10/26/2020,Monday,430,Social,15,171,135,4,12,0,2,0,0,27,64
10/27/2020,Tuesday,453,Social,28,172,3,3,31,10,2,0,26,1,177
10/28/2020,Wednesday,520,Social,68,139,35,37,8,15,0,0,1,1,216
10/29/2020,Thursday,391,Social,26,195,27,56,31,12,1,0,2,4,37
10/30/2020,Friday,533,Social,104,165,14,4,3,17,8,0,0,2,216
10/31/2020,Saturday,529,Social,76,184,20,1,6,2,10,0,1,18,211
11/1/2020,Sunday,401,Games,144,105,13,0,4,10,1,0,0,0,124
11/2/2020,Monday,486,Social,29,201,24,6,36,3,6,0,1,8,172
11/3/2020,Tuesday,255,Social,9,121,31,0,12,0,7,0,0,0,75
11/4/2020,Wednesday,389,Social,33,175,63,29,9,12,13,2,0,0,53
11/5/2020,Thursday,422,Social,23,133,54,1,37,0,13,1,0,0,160
11/6/2020,Friday,481,Social,22,221,54,21,9,10,25,0,0,0,119
11/7/2020,Saturday,572,Social,152,161,13,0,9,1,6,0,5,9,216
11/8/2020,Sunday,296,Social,10,142,52,0,18,0,0,0,0,29,45
11/9/2020,Monday,480,Social,15,156,11,5,8,6,0,0,0,0,279
11/10/2020,Tuesday,265,Social,23,88,19,48,7,3,2,0,1,0,74
11/11/2020,Wednesday,407,Social,11,168,51,0,4,13,0,1,0,1,158
11/12/2020,Thursday,216,Social,19,120,7,5,13,0,0,0,0,1,51
11/13/2020,Friday,326,Social,24,100,5,10,4,0,1,0,0,1,181
11/14/2020,Saturday,139,Social,4,78,5,0,2,10,16,0,0,2,22
11/15/2020,Sunday,361,Games,147,109,25,8,6,31,2,0,0,1,32
11/16/2020,Monday,510,Social,35,164,63,1,17,10,82,0,0,0,138
11/17/2020,Tuesday,259,Social,19,99,27,9,9,6,2,0,0,3,85
11/18/2020,Wednesday,526,Social,11,127,1,2,17,0,6,1,0,5,356
11/19/2020,Thursday,272,Social,16,104,9,21,12,1,4,0,0,16,89
11/20/2020,Friday,581,Social,49,132,19,16,32,3,2,0,0,35,293
11/21/2020,Saturday,334,Social,78,118,18,0,24,7,29,0,0,5,55
11/22/2020,Sunday,404,Social,49,179,7,0,4,41,3,0,0,0,121
11/23/2020,Monday,462,Social,10,194,45,0,10,19,0,0,0,2,182
11/24/2020,Tuesday,496,Social,5,127,0,0,5,3,1,0,0,5,350
11/25/2020,Wednesday,199,Social,19,63,5,0,2,0,54,0,0,0,56
11/26/2020,Thursday,186,Social,78,82,6,0,1,1,4,0,0,1,13
11/27/2020,Friday,342,Social,21,76,4,0,19,2,14,0,0,0,206
11/28/2020,Saturday,268,Social,29,153,14,21,7,4,0,0,0,0,40
11/29/2020,Sunday,214,Social,7,112,9,0,6,0,11,0,0,15,54
11/30/2020,Monday,475,Social,102,168,0,0,3,0,0,0,7,0,195
12/1/2020,Tuesday,268,Social,5,78,17,0,12,3,0,0,0,3,150
12/2/2020,Wednesday,451,Social,110,129,11,3,6,0,0,0,0,0,192
12/3/2020,Thursday,289,Social,1,172,5,12,6,0,0,0,10,1,82
12/4/2020,Friday,598,Social,0,108,3,2,2,0,1,0,0,0,482
12/5/2020,Saturday,279,Games,110,84,3,0,3,7,3,0,0,12,57
12/6/2020,Sunday,294,Social,3,140,6,0,15,48,0,0,0,9,73
12/7/2020,Monday,466,Social,21,137,0,0,8,4,0,0,2,9,285
12/8/2020,Tuesday,572,Social,0,81,12,3,11,54,0,0,0,0,411
12/9/2020,Wednesday,494,Social,16,184,4,0,11,0,1,0,0,35,243
12/10/2020,Thursday,478,Social,73,309,11,5,6,42,4,0,0,0,28
12/11/2020,Friday,639,Social,8,535,2,7,0,0,2,0,0,8,77
12/12/2020,Saturday,495,Social,14,90,13,0,2,8,1,13,0,29,325
12/13/2020,Sunday,469,Social,13,122,7,0,5,0,0,0,0,26,296
12/14/2020,Monday,578,Entertainment,0,113,178,10,10,0,0,0,0,0,267
12/15/2020,Tuesday,567,Entertainment,3,64,210,0,3,0,1,0,0,7,282
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
